id,category/id,category/name/ca,scope/id,scope/name/ca,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/ca,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
494,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Il·luminar el camí entre l'av. Can Cabassa i el c. Leon de Gredos - 10.000€,Il·luminar el camí entre l'avinguda Can Cabassa i el carrer León de Gredos per millorar la seguretat dels veïns que van a l'estació de FGC.,,SCG-PROP-2019-01-494,,69,0,,0,0,6,2019-01-30 13:25:25 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/494,,,False,,
492,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Instal·lar bancs a les places de Mas Gener - 8000€,Posar bancs a les places de Mas Gener per disposar de més llocs de descans i de relació per a la gent gran.  Es volen fomentar espais de trobada i la vida social del barri.,,SCG-PROP-2019-01-492,,44,0,,0,0,4,2019-01-30 13:15:15 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/492,,,False,,
499,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Adequar les mesures de seguretat a l'escenari del teatre de Mira-sol - 15.000€,"Condicionar l'escenari del teatre de Mira-sol per adequar-lo a les mesures de seguretat.  Fer les actuacions necessàries a la zona de les escales, cantonades i accessos als vestidors.",,SCG-PROP-2019-01-499,,73,0,,0,0,8,2019-01-30 13:43:56 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/499,,,False,,
493,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Posar tendals per fer ombra a les zones de joc infantil - 15.000€,Col·locar tendals naturals o artificials a les zones de joc infantil i a les àrees amb elements esportius per tal de crear espais protegits del sol.,,SCG-PROP-2019-01-493,,133,0,,0,0,5,2019-01-30 13:24:20 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/493,,,False,,
495,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Il·luminar el pati interior del Casal de Mira-sol - 10.000€,Instal·lar nova il·luminació al pati central del Casal de Mira-sol ja que l'actual es considera insuficient.,,SCG-PROP-2019-01-495,,102,0,,0,0,8,2019-01-30 13:26:55 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/495,,,False,,
486,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Adequar un pas per a vianants a l'av. Montserrat Roig / c. Cadí - 30.000€,Habilitar un pas de vianants a l'avinguda Montserrat Roig  amb el carrer Cadí i fer una escala per salvar el talús fins al c. Josep Trueta per tal de facilitar l'accés a l'estació de FGC de forma més segura.,,SCG-PROP-2019-01-486,,91,0,,0,0,4,2019-01-30 12:51:06 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/486,,,False,,
487,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Eixamplar la vorera de l'av. de Can Ganxet davant de l'estació de Mira-sol - 60.000€,"Ampliar el punt més estret de la vorera de l'av. Can Ganxet, al costat del túnel d'accés a l'estació de FGC i el centre comercial de Mira-sol. L'ampliació d'aquest tram facilitaria el pas de vianants i de ciclistes.",,SCG-PROP-2019-01-487,,109,0,,0,0,7,2019-01-30 12:54:08 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/487,,,False,,
488,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Millorar la zona de joc del pati del Casal de Mira-sol - 25.000€,"Millorar el terra de la zona de joc infantil del pati del Casal de Mira-sol, arranjant els desnivells del terreny i posant un sorral.",,SCG-PROP-2019-01-488,,123,0,,0,0,9,2019-01-30 13:02:31 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/488,,,False,,
489,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Crear una zona de socialització de gossos al camí de Sant Cugat al Papiol - 18.000€,Habilitar un espai tancat d'esbarjo i socialització per a gossos a la vora del Camí de Sant Cugat al Papiol (entre el parc infanil i els aparells de gimnàstica). Aquest espai vol contribuir a millorar la convivència i la seguretat dels veïns i els seus animals.,,SCG-PROP-2019-01-489,,171,0,,0,0,9,2019-01-30 13:03:59 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/489,,,False,,
490,,,,,21,https://decidim.santcugat.cat/processes/consellbarrimirasol2019?participatory_process_slug=consellbarrimirasol2019,127,Condicionar el paviment de la pista de Mas Gener - 80.000€,"Arranjar el paviment de la pista de Mas Gener per potenciar aquest espai per a la pràctica esportiva, així com per a activitats lúdiques i culturals del barri.",,SCG-PROP-2019-01-490,,40,0,,0,0,4,2019-01-30 13:05:18 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol2019/f/127/proposals/490,,,False,,
