id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title/ca,body/ca,state,reference,answer/ca,answer/es,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
203,154.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,1.0,Urbanitzacions,Urbanitzacions,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,"Zona verda amb arbres, park Infantil i barbacoa","Falta una zona, que no sigui la platja on poder desconnectar-se amb arbres, park infantil, barbacoa, zona on es podría fer exercici, i perquè no, amb un estanc.",rejected,CLF-PROP-2019-09-203,"<p>La inversió supera els 500,000 €</p>",,6,0,,0,0,27,2019-09-15 14:39:16 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/203,,,False,,
202,154.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Arrenjament de la zona verda del C/ Jaume Rafel,"S’ha  convertit en una zona d’aparcament, sense control, q fa malbé la zona verda .Es podrien voreres per a que els peatons puguessin passar ,impedir l’entrada de vehicles i una valla q delimités amb la Rambla Mossèn Jaume Tobella per tal d’evitar possibles riscos per la canalla que hi juga. Un projecte per acondicionar aquesta gran zona verda d’entrada la nostre municipi que proporcionarà qualitat al barri",accepted,CLF-PROP-2019-09-202,"<p>Compren fer la vorera i posar l'enllumenat, no es considera oportú col·locar-hi mes tanques</p>",,5,0,,0,0,27,2019-09-15 11:44:13 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/202,,,False,,
201,153.0,Rehabilitació ecològica,Rehabilitación ecológica,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Rehabilitació de “Cal Casas”,"“Cal Casas” es l’últim xalet senyorial de principis de segle XX que existeix situat al Passeig Marítim cantonada amb el Passatge Sant Antoni. La proposta seria restaurar l’immoble junt amb els jardins adjacents, per crear un espai que combini la museïtzació entorn el primer turisme que va fer us de les nostres platges i al mateix temps oferir un servei de café/teatre-bar i/o restaurant que dinamitzi l’espai entorn al projecte de museïtzació a través d’un conveni/concessió.",accepted,CLF-PROP-2019-09-201,<p>Segons pressupost de l'any passat. S'han afegit honorais i coordinació Seg. I Salut </p>,,7,0,,0,1,27,2019-09-15 12:06:26 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/201,,,False,,
200,154.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Iluminación y aceras en el parque ubicado entre las calles Jaume Rafel y Doctor Vandellòs  ,"Instalación de iluminación en la zona donde están ubicadas las 7 máquinas de gimnasia al aire libre y en la zona de los bancos junto al parque infantil, para que las personas usuarias podamos utilizar las instalaciones cuando no haya luz solar.

Construcción de aceras perimetrales desde el paso de peatones de la calle Doctor Vandellòs hasta la parada de autobús de la carretera, incluyendo los otros dos pasos de peatones que hay en la calle Jaume Rafel que llevan al parque.",accepted,CLF-PROP-2019-09-200,<p>Compren fer la vorera i posar l'enllumenat</p>,,2,1,Albert Iturbe Recasens,0,0,27,2019-09-15 10:55:55 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/200,,,False,,
199,165.0,Espai Públic,Espacio Público,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,,,accepted,CLF-PROP-2019-09-199,<p>Caldrà un Pla d'implementació d'aquests elements en el municipi.</p>,,1,1,Jespefe,0,1,29,2019-09-15 02:42:08 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/199,,,False,,
198,165.0,Espai Públic,Espacio Público,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Petits contenidors per les burilles del tabac,Instalar contenidors específics per llençar les burilles. Aquest tipus de rebuig es un problema important tan als carrers com a les platges. A més a més es un cost extra del servei de neteja per no parlar del impacte mediambiental que ocasiona a les platges. No estaria de més fer algun tipus de campanya  per fer arribar a la gent que l'us d'aquest contenidors serien un bé per a tothom.,accepted,CLF-PROP-2019-09-198,<p>40 ubicacions a les entrades a la platja </p>,,6,0,,0,0,27,2019-09-14 20:41:32 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/198,,,False,,
197,156.0,Pistes Esportives,Pistas Deportivas,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Basquet per a petits,"Instal•lar una pista de basquet pels mes petit a la zona del Vilarenc, amb canastes a les alçades adequades per ells.",accepted,CLF-PROP-2019-09-197,<p>Inclou 4cistelles i pintura de 2 pistes</p>,,8,0,,0,0,29,2019-09-14 19:33:31 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/197,,,False,,
196,165.0,Espai Públic,Espacio Público,1.0,Urbanitzacions,Urbanitzacions,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Esport en Mas Romeu,"Mi propuesta va orientada a la realización de un circuito de aparatos biosaludables al aire libre en la urbanización de Mas romeu. 
La finalidad es potenciar y estimular la realización de ejercicio físico orientada a satisfacer las necesidades de varios colectivos de Mas Romeu, Montmar y Calafell Parc. Propongo se instale en el terreno municipal de la Pl Lluis Millet y c/Ferran Sor, un punto negro de la ecología urbana que podría encontrar una solución mediante esta dinamización sociocultural.",accepted,CLF-PROP-2019-09-196,<p>Pressupost orientatiu similar al workout de Segur</p>,,1,1,Raquel Bejarano,0,0,28,2019-09-14 18:19:23 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/196,,,False,,
195,165.0,Espai Públic,Espacio Público,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Poda de árboles de las rieras de Segur ,Poda de árboles colindantes con las viviendas en zonas de las rieras de Segur (Casa Nova y Casa Vella) por riesgo de incendios ( ya ha habido un par de ellos). Mantenimiento y desifección de las mismas,rejected,CLF-PROP-2019-09-195,<p>Es descarta donat que no és inversió . És un servei</p>,,2,0,,0,0,28,2019-09-14 17:34:37 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/195,,,False,,
194,154.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Zona verda i Parc infantil ,Creació d'una nou espai verd amb zona infantil al terreny ubicat al carrer de l'Hostal i Ia carratera del Sanatori.,accepted,CLF-PROP-2019-09-194,<p>Millora enjardinament de l'espai i zona de jocs infantils . Inclou redacció projecte</p>,,3,0,,0,0,27,2019-09-14 11:02:14 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/194,,,False,,
