id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/ca,answer/es,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
264,226.0,Platges,Playas,,,,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Ampliació varador patí català a l'Espineta,"Actualment el varador de patí català a l'espineta és insuficient per l'alta demanda d'aficionats a aquesta embarcació tradicional.
Es demana l'ampliació de l'espai i serveis, si escau, tant a la platja com l'amplada de l'entrada i sortida al mar.
Entre els serveis que es podrien afegir, un espai de conscienciació de la conservació del patrimoni marítim i de salvaguarda de l'espai de la platja i el mar.",rejected,CLF-PROP-2020-08-264,<p>El varador del patí català ja disposa d'una superfície de 400 m2 . La platja de Calafell està força sobreocupada i no és posssible ampliar cap activitat ni instal·lar de noves. L'autorització depèn de la Direcció General de Politiques de Muntanya i del Litoral i no autoritzen més increments de superficie ocupada de platja.</p>,,2,0,,0,1,11,2020-08-24 11:20:03 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/264,,,False,,
289,300.0,Turisme Sostenible,  Turismo Sostenible   ,6.0,Municipi,Municipio,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Senyalització de rutes de natura,"Calafell té un entorn natural de primera magnitud però no disposa d'itineraris creats i adequadament senyalitzats que facilitin als habitants i visitants de Calafell de conèixer aquest patrimoni natural. Aquestes rutes podrien recórrer llocs com la Talaia, el poblat de Montpaó, la Cova Foradada o la muntanya del Borrell i podrien tenir diferents nivells de dificultat. Uns panells durant el recorregut podrien ajudar a reconèixer el nostre medi natural.",accepted,CLF-PROP-2020-08-289,"<p>S'integra en la proposta núm. 13 . Disseny de rutes , Senyalització , Neteges Adequació de les rutes .Publicació web . APPs.Es preveu una inversió de 500.000 €.Es vincula amb la proposta 14 d'aquesta llista.</p>",,9,0,,0,0,16,2020-08-30 20:48:16 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/289,,,False,,
243,302.0,Energia Renovable,Energia Renovable   ,6.0,Municipi,Municipio,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Energies Renovables,"L'Ajuntament hauria d'apostar per les energies renovables i facilitar la instal·lació a edificis particulars i també municipals, amb un projecte en el qual facilites ajudes econòmiques o descomptes en els tributs.
Les energies renovables són recursos nets i gairebé inesgotables que proporciona la naturalesa. Contribueixen a disminuir la dependència del nostre país dels subministraments externs, afavoreixen el desenvolupament de noves tecnologies i de la creació d'ocupació.",accepted,CLF-PROP-2020-08-243,"<p>A data d'avui l'Ajuntament ja incentiva l'ús d'energies renovables bonificant un 50% durant 3 anys l'IBI dels habitatges que instal·len captadors solars quan no estan obligats per la legislació. A nivell d'edificis municipals, s'ha realitzat un estudi per valorar el potencial fotovoltaic de les cobertes municipals. EL següent pas seria la redacció de projectes executius i realització de les instal·lacions, que en un primer estadi es valoren en 320,000 € per a la fase 1 (5 edificis)</p>",,13,1,Jo,0,1,11,2020-08-07 10:55:35 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/243,,,False,,
267,232.0,Formació,Formación,6.0,Municipi,Municipio,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Punts de cangurs per a famílies monomarentals,"Punts de cangurs per a famílies monomarentals o famílies amb pocs recursos econòmics i amb xarxa de suport dèbil.
Proposem tres punts, un Calafell a poble, un Calafell a platja, un a Segur de Calafell, a un Centre Cívic o edifici municipal de cada barri.
El primer any, cadascun dels tres punts tindrà una capacitat per acollir entre sis i vuit infants per hora, d'entre tres i 12 anys, i seran gestionats per dos educadors a mitja jornada, funcionant de 16 h a 20 h.",accepted,CLF-PROP-2020-08-267,"<p>El cost d'aquesta acció, 6 professionals (dos a cada punt) a mitja jornada, durant tot l'any (amb vacances d'un mes a l'any) seria de 97.000€ +iva. Una altra opció amb un cost inferior, i més adaptable a les necessitats de cada persona seria fer una Borsa d'hores. El cost d'aquesta intervenció podria estar sobre els 45.000€, que inclouen una borsa de 2.500 hores/any. Aquest servei podria ser objecte d'un copagament de 3€/h per persona, de manera que el seu cost es podria veure reduït fins a 7.500€. De tota manera hi haurà persones que potser no podran fer front a aquest cost i per tant caldria regular algun tipus de dispositiu (beques, excepció de copagament,...) i per tant els possibles ingressos plantejats es veurien minvats</p>",,2,1,Isabel Bou Bayona,0,0,12,2020-08-24 15:11:39 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/267,,,False,,
261,219.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,4.0,Segur ,Segur ,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Parque antigua Plaza de Toros,"Crear un parque público a la antigua plaza de Toros, aprovechando que tenemos en Segur el IES la Talaia, que tiene un modulo de Jardinería.
Con faroles Led para que de noche no queda oscura y no invita a trastados y vandalismo.
De paso se limpia el terreno de hierbas, ratas y otros especies.
Hacer una conexión peatonal entre Calle Brasil y la Avda España .",accepted,CLF-PROP-2020-08-261,"<p>El solar nomenat ""Plaça de Braus"" te una superfície de 6.814 m2, el POUM la qualifica de Sistema d'equipaments, clau 4, té accés per l'avinguda Espanya, però no pel carrer Brasil, ja que la peça de terreny que es qualificada de dotacions que permet aquesta connexió es propietat privada. Es pot estimar una actuació molt lleugera de neteja de la vegetació, amb la creació d'espais d'estada i jocs infantils i un correcan, unificant la proposta amb el numero 30 d'aquesta relació, el pressupost total estimat es de 250.000 €.</p>",,4,0,,0,0,11,2020-08-23 15:44:15 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/261,,,False,,
272,224.0, Patrimoni,Patrimonio,6.0,Municipi,Municipio,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Escut per a Segur i bandera per a Calafell,Creació d'un escut per a Segur diferenciat del de Calafell basat en algun fet històric o qualsevol tema que permeti la normativa de la generalitat per a la seva oficialització com escut d'un ens local descentalitzat i en segon lloc oficialització d'una bandera per a Calafell o per ambdós nuclis de població (Segur i Calafell).,rejected,CLF-PROP-2020-08-272,"<p>Calafell i Segur son el mateix municipi, no es pot fer distinció</p>",,3,2,"Albert, Noemi ",0,0,11,2020-08-24 19:13:42 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/272,,,False,,
276,229.0,Habitatge Social, Vivienda Social,,,,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Projecte  per la recerca d´habitatge social a Calafell,"A Calafell, en les darreres dècades, mai havia apostat per disposar d´una borsa d´habitatge social per aquelles famílies més vulnerables i que es treballa des de Serveis Socials. Cal buscar en el sector privat alternatives habitacionals de lloguers asequibles, amb el suport de l, ajuntament per a poder fer fer un pla integral amb les families ( orientació, formació, treball, emprenadoria, cooperatives..) i normalitzar la seva situació.",accepted,CLF-PROP-2020-08-276,<p>Prospeció i recerca d´habitatges encondicions idònees per a entrar a viure en el sector privat per incloure en la borssa d´habitatge social.Dos gestors comercials a temps complert durant un any i part proporcional de cofinançamanet de l´ajuntament mitjançant el procediment 40/60 de la Generalitat.</p>,,7,0,,0,0,11,2020-08-26 11:25:52 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/276,,,False,,
284,230.0,Espai Públic,Espacio Público,3.0,Calafell ,Calafell ,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Pantalles acustiques per soroll del tren.,"La proposta es col.locar pantalles acústiques des de l'estany del mas mel fins a arribar a l'estació, el soroll esta afectant a la salud de les persones per que de nit , passen trens cadencialment tota la nit, sense deixar suficient temps per poder descansar, durant el dia tampoc deixa  descansar donat el poc espai que te la via  amb el habitatges.",accepted,CLF-PROP-2020-08-284,"<p>Les pantalles acústiques son elements que usualment instal·la l'administrador de la infraestructura ferroviaria, ADIF. No obstant si l'ajuntament afronta la instal·lació d'alguns trams pel seu interés públics, donat l'elevat cost d'aquest tipus d'elements, es considera un pressupost de 500.000.</p>",,18,8,"Eulàlia Massuet Torrus, José Javier Nieto Checa, Chio Gutierrez, Josefa Muñoz, ANGEL RABAL LUJAN, Santi Parraga, Jose Antonio Olive, Alex Parra",5,0,19,2020-08-29 14:42:37 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/284,,,False,,
255,227.0,Gent Gran,Gente mayor,,,,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,"Lucha contra la soledad de las personas mayores,dependientes e incapacitados","Estamos viviendo en la era de la comunicación y hay mucha incomunicación, personas mayores que están en soledad y no tienen la capacidad de poder moverse de sus viviendas, muchas son casas antiguas que no están pensadas para cuando no hacemos mayores, lejos de núcleo urbano. Un equipo de personas que mejoren la calidad de vida de esas personas y no se sientan solas, necesitan vivir y ser participes de la realidad del día a día. Mucho apoyo con esta pandemia",accepted,CLF-PROP-2020-08-255,"<p>Suport integral a la gent gran sense xarxa social al municipi, que necessita acompanyament en situacions vitals derivades de la solitud: psicològic, medicaió, alimentació, acompanyament, compres..). Formació i inserció en el servei de persones del municipi en una primera fase de desenvolupament.</p>",,8,1,Manuel García Baya,0,0,14,2020-08-20 20:43:07 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/255,,,False,,
235,301.0,Fons Marins,Fondo Marino   ,,,,23,https://decidim.calafell.cat/processes/pressupostos-participatius-2021?participatory_process_slug=pressupostos-participatius-2021,120,Pulmó de la Mediterrània,"Recuperar la Posidònia imprescindible per mantenir la biodiversitat de la Mar Mediterrània i, una eina fonamental en la lluita pel canvi climàtic. No es tracta d'una alga, sinó d'una planta Marina com a tal, protegeix el fons marí, ajuda a prevenir la pèrdua de sorra per l'onatge, proporciona hàbitat a moltes espècies, oxigenant  l'aigua, i captura CO2 per a garantir que l'aigua sigui el més cristal·lina possible i que es combinin diferents tonalitats des de el blau marí al verd blavós.",accepted,CLF-PROP-2020-08-235,"<p>Es proposa incialment com a diagnosi prèvia la realització d'un estudi de les capes bionòmiques del medi marí , per coneixer les biocenosi més important , elaborar un mapa de biocenosi , elbaorar un SIG bàsic de gestió i realitzar una diagnso ambiental , avaluar l'estat dels ecosistemes , valor ecolpogic i ambiental amb propostes de gestió ( en què es plantejaria la proposta de introducció de posidònia) La redacció de l'estudi i les proves és de 200.000 €.</p>",,22,5,"Jose Manuel Tejedor Gonzalez, Clemente Salguero Fernandez , Aixa, Fernando Cruz Carrera, Andreu",0,1,24,2020-08-03 14:53:17 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2021/f/120/proposals/235,,,False,,
