id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,supports,endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals
45,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,EP9 - Pacificació de l'entorn de la plaça de Pep Ventura,"Proposta presentada per la ciutadania
Pressupost: 50.000 €

Projecte de pacificació del trànsit dels entorns de la pl. de Pep Ventura. La intervenció consisteix en convertir en zona de vianants el tram entre el carrer de Can Puiggener i la cruïlla amb el carrer de Fra Batlle fent canvi de sentit de la marxa dels carrers implicats. 

Convertir en zona de vianants el tram del carrer Fra Batlle entre els carrers  Baronia i Sant Maties. Amb aquesta intervenció s'evitaria els risc de travessar pels passos de vianants actuals que tenen molta manca de visibilitat. Finalment, caldria remodelar el nou espai que quedaria a la pl. de Pep Ventura. 
",,SBD-PROP-2018-12-45,409,0,0,0,17,2018-12-20 12:00:04 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/45,,
51,,,,19,"Ciutat, projecte d'obres","Ciudad, proyecto de obras",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,EP23 – Pugem la xarxa,"Proposta presentada per Castellers de Sabadell
Pressupost: 50.000 €

Proposta per a la millora dels elements d’assaig del local dels Castellers de Sabadell, per tal de dotar a l’entitat d’una major seguretat ja freqüent en altres locals de colles castelleres de menor nivell.

Fase d’execució:
-	Disseny de la xarxa mòbil i recerca de constructor amb experiència en el món casteller
-	Construcció de la xarxa i adequació dins l’espai del local
-	Compra i posada a punt dels complements de l’estructura, coixinets, subjeccions, cordes etc.
",,SBD-PROP-2018-12-51,425,0,0,0,11,2018-12-20 12:13:32 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/51,,
58,,,,17,"Ciutat, projecte social","Ciudad, proyecto social",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,SC4 – Relata: concurs de contes sobre la discapacitat intel·lectual,"Proposta presentada per ANDI DOWN SABADELL
Pressupost: 6.677 €

“Relata” té l’objectiu que nens i nenes de diferents centres educatius de Sabadell, coneguin la temàtica de la síndrome de Down  i de la discapacitat intel·lectual a través de la reflexió, la imaginació i la creativitat.
El projecte té dues activitats: els tallers de sensibilització a l’aula i en segon terme, el concurs de contes sobre la discapacitat intel·lectual que finalitzarà amb un acte de reconeixement als millors relats i amb una publicació d’aquestes, que es distribuirà en diferents punts de la ciutat.
També organitzarem uns jocs florals el dia de Sant Jordi a dues residències de la tercera edat de Sabadell. Serà a partir d’algun tipus de recurs literari, que avis i àvies podran expressar la seva pròpia experiència vers la temàtica de la discapacitat intel·lectual.

",,SBD-PROP-2018-12-58,502,0,0,0,8,2018-12-20 12:45:56 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/58,,
68,,,,15,"Barri, projecte social","Barrio, proyecto social",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,SC17 – #recuperacci! Procés de participació ciutadana per redefinir el model de Festa Major de Can Puiggener,"Proposta presentada per GE La Baldufa
Pressupost: 49.000€

La proposta vol oferir l’oportunitat a la ciutadania i entitats del barri de Can Puiggener a recuperar participativament la Festa Major del barri; tenint en compte el passat i recuperant elements significatius actuals.
Es pretén implicar a entitats i associacions, a les 2 escoles i ampes, a les 2 associacions de veïns i veïnes i a la resta de la ciutadania en el disseny, la planificació i l’execució de la Festa Major 2020. Amb la col·laboració dels infants i adolescents en la creació del material artístic, amb tallers durant el curs 2019-2020.
Tot això, creant diferents comissions de treball, facilitant així la cohesió del teixit social del barri i treballant el sentiment de pertinença al mateix.
S’aposta per una acció que sumi, a través del lleure i l’acció social.
",,SBD-PROP-2018-12-68,428,0,0,0,7,2018-12-20 13:12:41 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/68,,
75,,,,17,"Ciutat, projecte social","Ciudad, proyecto social",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,SC30 – Sabacleta. Intervenció socioeducativa  amb la bicicleta,"Proposta presentada per la Fundació MAIN
Pressupost: 61.171,09 €

El nostre projecte és un programa socioeducatiu que potencia la formació per a 15 joves en matèria de guia i monitor en la conducció de la bicicleta i com a auxiliar mecànic. Al mateix temps vol potenciar la mobilitat sostenible a la ciutat de Sabadell mitjançant l’ús de la bicicleta.
Per a aconseguir-ho, els joves posaran en pràctica els coneixements adquirits amb dues accions: per una banda formaran, juntament amb un professional expert, a més de 400 alumnes de 6è de primària de 9 escoles de la  ciutat durant el curs escolar del 2019-2020 sobre l’ús de la bicicleta i la conducció interurbana; i de l’altra banda els mateixos joves gestionaran  amb un altre professional expert un punt d’autoreparació i servei d’ús compartit (sharing) de bicicletes per a qualsevol ciutadà o ciutadana de Sabadell.
",,SBD-PROP-2018-12-75,332,0,0,0,4,2018-12-20 13:25:54 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/75,,
53,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,"EP27 – L’Escola Joaquim Blume vol un pati per a tots@s, obert al nostre barri","Proposta presentada per l’AMPA de l’Escola Joaquim Blume
Pressupost: 90.000 €

L’Escola Joaquim Blume gaudeix d’un dels espais exteriors amb més potencial del barri de Sant Oleguer. La nostra escola aviat farà 40 anys i vol continuar sent una institució de referència al barri, on tots i totes hi comptem.
Per això, volem una intervenció que ens doti de varietat de jocs, millores de seguretat del pati, increment dels espais verds i incorpori una zona de trobada per a les famílies i el veïnat.
",accepted,SBD-PROP-2018-12-53,817,0,0,0,35,2018-12-20 12:16:41 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/53,,
46,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,EP13 - Camí biosaludable i millora dels espais oberts per a la pràctica de l’esport,"Proposta presentada per l’AV Poblenou de La Salut
Pressupost: 100.000 €

Crear un espai per promocionar la pràctica de l'esport per a totes les edats al costat de la zona de pic-nic del parc de La Salut. L'espai comptaria entre d'altres coses amb elements biosaludables. Alhora, també es volen col·locar elements esportius a diferents punts del barri, com per exemple taules de tennis  per promoure l'esport.
",,SBD-PROP-2018-12-46,552,0,0,0,14,2018-12-20 12:01:47 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/46,,
72,,,,15,"Barri, projecte social","Barrio, proyecto social",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,SC22 – “Idea’s Lab”. Espai de creació tecnològica i laboratori d’idees per a infants i joves de Torre-romeu,"Proposta presentada per la Fundació IDEA
Pressupost: 21.200 €

El desenvolupament del projecte i creació de l’espai maker anirà vinculat a la robòtica i al disseny i construcció de projectes escollits per infants i joves. Els dos objectius del projecte són:
1.- Promoció d’un concurs d’idees innovadores entre els infants i joves participants.
2.- Exposició final al centre cívic de Torre-romeu de tots els prototips generats pels infants i joves durant els mesos de creació (tant els més innovadors així com tots els projectes realitzats conjuntament).

Una vegada creat l’espai maker i minimaker, la proposta de funcionament de l’espai és de 3 dies per setmana:
- Un per a joves.
- Un per a infants amb el suport dels joves del grup motor.
- La possibilitat d’un matí/tarda com a espai de col·laboració amb altres agents socioculturals.
",,SBD-PROP-2018-12-72,337,0,0,0,7,2018-12-20 13:21:05 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/72,,
54,,,,19,"Ciutat, projecte d'obres","Ciudad, proyecto de obras",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,EP28 – Camins escolars segurs a les escoles i instituts de Sabadell,"Proposta presentada per la ciutadania
Pressupost: 100.000,00€

Es proposa una actuació a l’espai públic que permeti visibilitzar els entorns dels centres escolars senyalitzant els passos de vianants de major utilització al seu entorn.
Es tracta de senyalitzar amb pintura antilliscant de colors vius els passos de vianants més propers a les escoles de la ciutat.
D’aquesta manera es visibilitzen els espais per on travessen els nens i les nenes, els conductors podran veure clarament que s’apropen a un entorn escolar i que per tant han d’extremar la precaució i alhora es consciencia a la població (tant vianants com conductors) de la importància d’estar alerta quan anem pel carrer i circulem.
",accepted,SBD-PROP-2018-12-54,1769,0,0,0,67,2018-12-20 12:20:10 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/54,,
63,,,,17,"Ciutat, projecte social","Ciudad, proyecto social",18,https://decidim.sabadell.cat/processes/pressupostsbd?participatory_process_slug=pressupostsbd,68,SC10 – Pensament crític per a joves i adults,"Proposta presentada per Associació Alinea-t
Pressupost: 36.250,00€

Aquest projecte està enfocat a millorar el benestar dels ciutadans i ciutadanes de Sabadell a través de la perspectiva del pensament crític. L’objectiu principal consisteix en enfocar un procés de reflexió que sigui útil, transformador i divertit que permeti un millor acoblament societat-individu.

Per portar-lo a terme es proposen cinc  línies d’actuació:
1.	Curs de pensament crític per a un grup de 35 persones al llarg d’un curs acadèmic amb metodologia participativa i enfocament multidisciplinar mitjançant la filosofia pràctica i la intel·ligència emocional.
2.	Curs de matemàtiques crítiques, reforç i ampliació de matemàtiques per a estudiants d’ESO i Batxillerat.
3.	Conferències de pensament crític (programa de 4 sessions)
4.	Disseny i edició de 5 videos de pensament crític.
5.	Redacció, edició i impressió d’un llibre de pensament crític que reculli les principals idees del pensament crític.
",,SBD-PROP-2018-12-63,327,0,0,0,11,2018-12-20 12:55:43 UTC,https://decidim.sabadell.cat/processes/pressupostsbd/f/68/proposals/63,,
