Instance	PB process url	PB process id	Country	Scope	Topic
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/Floresta	145	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/lesplanes	146	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/centreest	142	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/centreoest	141	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/decidimlafloresta2019	20	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/consellbarrimirasol2019	21	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/consellbarrimirasol	16	Catalonia / Spain	Neighborhood	Specific area
Sant Cugat del Vallès	https://decidim.santcugat.cat/processes/consellbarrilafloresta	15	Catalonia / Spain	Neighborhood	Specific area
Sencelles	https://decidim.sencelles.cat/processes/pressupostos2020	4	Catalonia / Spain	City	General
Teià	https://decidim-teia.diba.cat/processes/pressupostosparticipatius2019	85	Catalonia / Spain	City	General
Teià	https://decidim-teia.diba.cat/processes/pressupostosparticipatius2018	72	Catalonia / Spain	City	General
Torre de Claramunt	https://decidim-latorre.diba.cat/processes/pressupostosparticipatius2019-2020	222	Catalonia / Spain	City	General
Torroella de Montgri	https://torroella-estartit-decidim.ddgi.cat/processes/pressupostosparticipatius20202021	30	Catalonia / Spain	City	General
Vacarisses	https://decidim-vacarisses.diba.cat/processes/pressupostos-participatius-20-21	282	Catalonia / Spain	City	General
Vacarisses	https://decidim-vacarisses.diba.cat/processes/pressupostos-participatius-19	197	Catalonia / Spain	City	General
Vacarisses	https://decidim-vacarisses.diba.cat/processes/pressu18	63	Catalonia / Spain	City	General
Vantaa	https://osallistu.vantaa.fi/processes/meidanhakunila	3	Catalonia / Spain	Neighborhood	General
Vic	https://decidim-vic.diba.cat/processes/merma2020	253	Catalonia / Spain	City	Specific area
Viladecans	https://decidim-viladecans.diba.cat/processes/pressupostosparticipatius2019	34	Catalonia / Spain	City	General
Vilanova i la Geltrú	http://participa.vilanova.cat/processes/pressupostosparticipatius2017	7	Catalonia / Spain	City	General
