id,category/id,category/name,scope/id,scope/name,participatory_space/id,participatory_space/url,component/id,title/fr,title/nl,description/fr,description/nl,start_time,end_time,attendees,contributions,organizations,address,location/fr,location/nl,reference,comments,attachments,followers,url,related_proposals,related_results
34,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,155,Séance d'information virtuelle du 14 septembre 2020,Virtuele infosessie - 14 september 2020,"<p><strong>Le lundi 14 septembre 2020 de 13h à 14h</strong>, les Ucclois et Uccloises sont invités à participer à une séance d’information virtuelle sur le budget participatif et ses différentes étapes en&nbsp;Facebook Live via la page <a href=""https://www.facebook.com/uccle1180ukkel"" target=""_blank"">www.facebook.com/uccle1180ukkel.</a></p>",,2020-09-14 11:00:00,2020-09-14 12:00:00,0,0,,Uccle,www.facebook.com/uccle1180ukkel,www.facebook.com/uccle1180ukkel,uccle-MEET-2020-09-34,0,0,0,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/155/meetings/34,,
29,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,155,Séance d'information du 9 septembre 2020,Infosessie - 9 september 2020,"<p><strong>Le mercredi 9 septembre 2020 de 20h à 21h</strong>, les Ucclois et Uccloises sont invités à participer à une séance d’information sur le budget participatif et ses différentes étapes organisée à la Maison communale.</p><p><br></p>",<p>Op woensdag 9&nbsp;september 2020 van 20 tot 21&nbsp;uur worden de Ukkelaars uitgenodigd om deel te nemen aan een infosessie in het gemeentehuis over het participatief budget en de verschillende stappen.</p>,2020-09-09 18:00:00,2020-09-09 19:00:00,0,0,,"Place Jean Vander Elst, 29, Uccle / Jean Vander Elstplein 29",Salle du Conseil communal,Het gemeentehuis,uccle-MEET-2020-06-29,0,0,1,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/155/meetings/29,,
28,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,155,Séance d'information du 12 août 2020,Infosessie- 12 augustus 2020,"<p><strong>Le mercredi 12 août 2020 de 20h à 21h</strong>, les Ucclois et Uccloises sont invités à participer à une séance d’information sur le budget participatif et ses différentes étapes organisée à la Maison communale.</p><p><br></p>",<p>Op woensdag 12&nbsp;augustus 2020 van 20 tot 21&nbsp;uur worden de Ukkelaars uitgenodigd om deel te nemen aan een infosessie in het gemeentehuis over het participatief budget en de verschillende stappen.</p>,2020-08-12 18:00:00,2020-08-12 19:00:00,0,0,,"Place Jean Vander Elst, 29, Uccle / Jean Vander Elstplein 29",Salle du Conseil communal,Het gemeentehuis,uccle-MEET-2020-06-28,0,0,2,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/155/meetings/28,,
27,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,155,Séance d'information du 8 juillet 2020,Infosessie - 8 juli 2020,"<p><strong>Le mercredi 8 juillet  2020 de 20h à 21h</strong>, les Ucclois et Uccloises sont invités à participer à une séance d’information sur le budget participatif et ses différentes étapes organisée à la Maison communale.</p><p><br></p>",<p><strong>Woensdag 8 juli 2020 om 20 uur</strong> in het gemeentehuis&nbsp;: Er wordt een infosessie over het participatiebudget en de verschillende stappen georganiseerd.</p>,2020-07-08 18:00:00,2020-07-08 19:00:00,0,0,,"Place Jean Vander Elst, 29, Uccle / Jean Vander Elstplein 29",Salle du Conseil communal,Het gemeentehuis,uccle-MEET-2020-06-27,0,0,1,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/155/meetings/27,,
26,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,155,Séance d'information virtuelle du 15 juillet 2020,Virtuele infosessie - 15 juli 2020,"<p><strong>Le mercredi 15 juillet 2020 de 13h à 14h,</strong> les Ucclois et Uccloises sont invités à participer à une séance d’information virtuelle sur le budget participatif et ses différentes étapes en&nbsp;Facebook Live <strong>via la page </strong><a href=""https://www.facebook.com/uccle1180ukkel"" target=""_blank""><strong>www.facebook.com/uccle1180ukkel.</strong></a></p>",<p><strong>Woensdag 15 juli 2020 om 13 uur tot 14 uur</strong> via Facebook Live op www.facebook.com/uccle1180ukkel.</p>,2020-07-15 11:00:00,2020-07-15 12:00:00,0,0,,Uccle,www.facebook.com/uccle1180ukkel,www.facebook.com/uccle1180ukkel,uccle-MEET-2020-06-26,0,0,2,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/155/meetings/26,,
36,,,,,35,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020?participatory_process_slug=budgetparticipatif2020,186,Le Forum des projets : présentations des projets soumis au vote ,,"<p><strong>Le jeudi 12 novembre 2020&nbsp;à 20h, la Commune d'Uccle organise le&nbsp;"" Forum des projets "" en&nbsp;Facebook Live via la page&nbsp;</strong><a href=""https://www.facebook.com/uccle1180ukkel"" target=""_blank""><strong>www.facebook.com/uccle1180ukkel.</strong></a></p><p>Pendant cette soirée conviviale et informative,&nbsp;les porteurs des projets retenus pourront présenter aux Ucclois(e)s leur projet. A eux de vous convaincre!</p>",,2020-11-12 19:00:00,2020-11-12 21:00:00,0,0,,Uccle, www.facebook.com/uccle1180ukkel,,uccle-MEET-2020-10-36,0,0,0,https://uccle.monopinion.belgium.be/processes/budgetparticipatif2020/f/186/meetings/36,,
